,原版,平滑,未覆盖
pmed1.n100p5,0.043,0.026,0
pmed2.n100p10,0.142,0.032,0
pmed3.n100p10,0.2,0.032,0
pmed4.n100p20,0.023,0.032,0
pmed5.n100p33,0.025,0.035,0
pmed6.n200p5,0.604,0.065,0
pmed7.n200p10,0.188,0.034,0
pmed8.n200p20,0.47,0.031,0
pmed9.n200p40,0.066,0.027,0
pmed10.n200p67,0.024,0.019,0
pmed11.n300p5,0.081,0.036,0
pmed12.n300p10,0.041,0.024,0
pmed13.n300p30,0.04,0.029,0
pmed14.n300p60,0.051,0.03,0
pmed15.n300p100,0.038,0.027,0
pmed16.n400p5,0.034,0.032,0
pmed17.n400p10,0.038,0.03,0
pmed18.n400p40,0.035,0.038,0
pmed19.n400p80,0.035,4.063,0
pmed20.n400p133,0.039,0.028,0
pmed21.n500p5,0.058,0.026,0
pmed22.n500p10,0.703,0.025,0
pmed23.n500p50,1.41,0.023,0
pmed24.n500p100,0.279,0.025,0
pmed25.n500p167,0.313,0.021,0
pmed26.n600p5,0.556,0.024,0
pmed27.n600p10,0.27,0.023,0
pmed28.n600p60,0.076,0.023,0
pmed29.n600p120,0.263,0.024,0
pmed30.n600p200,0.071,0.024,0
pmed31.n700p5,0.039,0.025,0
pmed32.n700p10,0.11,0.028,0
pmed33.n700p70,0.043,0.02,0
pmed34.n700p140,0.075,0.021,0
pmed35.n800p5,0.048,0.028,0
pmed36.n800p10,0.046,0.027,0
pmed37.n800p80,0.061,0.023,0
pmed38.n900p5,0.061,0.031,0
pmed39.n900p10,0.117,0.031,0
pmed40.n900p90,0.039,0.023,0
u1060p10r2273.08,0.041,0.029,0
u1060p20r1580.80,0.396,0.045,0
u1060p30r1207.77,0.07,0.042,0
u1060p40r1020.56,0.045,0.032,0
u1060p50r904.92,0.226,0.065,0
u1060p60r781.17,0.033,0.053,0
u1060p70r710.75,0.035,0.055,0
u1060p80r652.16,0.039,0.081,0
u1060p90r607.87,0.027,0.048,0
u1060p100r570.01,0.044,0.042,0
u1060p110r538.84,0.032,0.055,0
u1060p120r510.27,0.032,0.039,0
u1060p130r499.65,0.031,0.039,0
u1060p140r452.46,0.031,0.04,0
u1060p150r447.01,0.033,0.043,0
rl1323p10r3077.30,0.056,0.312,0
rl1323p20r2016.40,0.07,0.039,0
rl1323p30r1631.50,0.08,0.232,0
rl1323p40r1352.36,0.315,0.092,0
rl1323p50r1187.27,0.081,0.048,0
rl1323p60r1063.01,0.563,0.079,0
rl1323p70r971.93,0.475,0.074,0
rl1323p80r895.06,0.122,0.078,0
rl1323p90r832.00,0.054,0.05,0
rl1323p100r789.70,0.119,0.04,0
u1817p10r457.91,1.371,0.12,0
u1817p20r309.01,0.942,1.635,0
u1817p30r240.99,0.739,0.088,0
u1817p40r209.45,0.069,0.093,0
u1817p50r184.91,0.148,0.102,0
u1817p60r162.64,0.059,0.055,0
u1817p70r148.11,0.038,0.028,0
u1817p80r136.77,0.167,0.413,0
u1817p90r129.51,0.06,0.072,0
u1817p100r126.99,0.04,0.031,0
u1817p110r109.25,0.406,0.127,0
u1817p120r107.76,0.045,0.04,0
u1817p130r104.73,5.447,1.195,0
u1817p140r101.60,0.135,0.07,0
u1817p150r91.60,0.091,0.069,0
pcb3038p10r728.54,0.507,1.45,0
pcb3038p20r493.04,7.504,10.286,0
pcb3038p30r393.50,2.872,0.492,0
pcb3038p40r336.42,108.231,102.034,0
pcb3038p50r297.83,7.135,42.835,0
pcb3038p50r298.04,45.671,136.534,0
pcb3038p50r298.10,54.949,81.89,0
pcb3038p100r206.6,19.065,208.529,0
pcb3038p100r206.31,612.986,474.475,0
pcb3038p100r206.63,18.378,33.717,0
pcb3038p150r164.40,73.403,247.107,0
pcb3038p150r164.55,195.867,132.037,0
pcb3038p150r164.77,1.112,2.53,0
pcb3038p200r140.06,1674.854,17.182,0
pcb3038p200r140.09,26.48,9.726,0
pcb3038p200r140.90,0.145,0.275,0
pcb3038p250r122.25,7.484,6.874,0
pcb3038p300r115.00,3.24,68.086,0
pcb3038p350r104.68,0.306,1.353,0
pcb3038p400r96.88,2.079,2.651,0
pcb3038p450r88.55,0.409,1.172,0
pcb3038p500r84.58,0.579,0.329,0
pcb3038总和,2863.256,1581.564,0
,,只跑了一次，似乎是比没平滑稍好,
